2024-10-17 11:26:46,178 - INFO - Mapping ('2', '2229') to 20002229.tif
2024-10-17 11:26:46,178 - INFO - Mapping ('2', '2230') to 20002230.tif
2024-10-17 11:26:46,178 - INFO - Mapping ('2', '2254') to 20002254.tif
2024-10-17 11:26:46,178 - INFO - Mapping ('2', '2267') to 20002267.tif
2024-10-17 11:26:46,178 - INFO - Mapping ('2', '2305') to 20002305.tif
2024-10-17 11:26:46,178 - INFO - Mapping ('2', '2369') to 20002369.tif
2024-10-17 11:26:46,178 - INFO - Mapping ('2', '2384') to 20002384.tif
2024-10-17 11:26:46,179 - INFO - Mapping ('2', '2474') to 20002474.tif
2024-10-17 11:26:46,179 - INFO - Mapping ('2', '2506') to 20002506.tif
2024-10-17 11:26:46,179 - INFO - Mapping ('2', '2509') to 20002509.tif
2024-10-17 11:26:46,179 - INFO - Mapping ('2', '2526') to 20002526.tif
2024-10-17 11:26:46,179 - INFO - Mapping ('2', '2547') to 20002547.tif
2024-10-17 11:26:46,179 - INFO - Mapping ('2', '2550') to 20002550.tif
2024-10-17 11:26:46,181 - INFO - Mapping ('2', '2551') to 20002551.tif
2024-10-17 11:26:46,181 - INFO - Mapping ('2', '2559') to 20002559.tif
2024-10-17 11:26:46,181 - INFO - Mapping ('2', '2562') to 20002562.tif
2024-10-17 11:26:46,181 - INFO - Mapping ('1', '2318') to 10002318.tif
2024-10-17 11:26:46,181 - INFO - Mapping ('1', '2244') to 10002244.tif
2024-10-17 11:26:46,182 - INFO - Mapping ('1', '2443') to 10002443.tif
2024-10-17 11:26:46,182 - INFO - Mapping ('1', '2293') to 10002293.tif
2024-10-17 11:26:46,182 - INFO - Mapping ('1', '2413') to 10002413.tif
2024-10-17 11:26:46,182 - INFO - Mapping ('1', '2395') to 10002395.tif
2024-10-17 11:26:46,182 - INFO - Mapping ('1', '2266') to 10002266.tif
2024-10-17 11:26:46,183 - INFO - Mapping ('1', '2416') to 10002416.tif
2024-10-17 11:26:46,183 - INFO - Mapping ('1', '2281') to 10002281.tif
2024-10-17 11:26:46,183 - INFO - Mapping ('1', '2312') to 10002312.tif
2024-10-17 11:26:46,183 - INFO - Mapping ('1', '2423') to 10002423.tif
2024-10-17 11:26:46,183 - INFO - Mapping ('1', '2402') to 10002402.tif
2024-10-17 11:26:46,184 - INFO - Mapping ('1', '2460') to 10002460.tif
2024-10-17 11:26:46,184 - INFO - Mapping ('1', '2540') to 10002540.tif
2024-10-17 11:26:46,184 - INFO - Mapping ('1', '2328') to 10002328.tif
2024-10-17 11:26:46,184 - INFO - Mapping ('1', '2261') to 10002261.tif
2024-10-17 11:26:46,185 - INFO - Mapping ('1', '2535') to 10002535.tif
2024-10-17 11:26:46,185 - INFO - Mapping ('1', '2243') to 10002243.tif
2024-10-17 11:26:46,185 - INFO - Mapping ('1', '2510') to 10002510.tif
2024-10-17 11:26:46,185 - INFO - Mapping ('1', '2502') to 10002502.tif
2024-10-17 11:26:46,185 - INFO - Mapping ('1', '2546') to 10002546.tif
2024-10-17 11:26:46,185 - INFO - Mapping ('1', '2504') to 10002504.tif
2024-10-17 11:26:46,185 - INFO - Mapping ('1', '2516') to 10002516.tif
2024-10-17 11:26:46,185 - INFO - Mapping ('1', '2526') to 10002526.tif
2024-10-17 11:26:46,187 - INFO - Mapping ('1', '2497') to 10002497.tif
2024-10-17 11:26:46,187 - INFO - Mapping ('1', '2251') to 10002251.tif
2024-10-17 11:26:46,187 - INFO - Mapping ('1', '2529') to 10002529.tif
2024-10-17 11:26:46,187 - INFO - Mapping ('1', '2573') to 10002573.tif
2024-10-17 11:26:46,187 - INFO - Mapping ('1', '2583') to 10002583.tif
2024-10-17 11:26:46,188 - INFO - Mapping ('1', '2588') to 10002588.tif
2024-10-17 11:26:46,188 - INFO - Mapping ('1', '2596') to 10002596.tif
2024-10-17 11:26:46,188 - INFO - Mapping ('2', '2228') to 20002228.tif
2024-10-17 11:26:46,188 - INFO - Mapping ('2', '2234') to 20002234.tif
2024-10-17 11:26:46,189 - INFO - Mapping ('2', '2246') to 20002246.tif
2024-10-17 11:26:46,189 - INFO - Mapping ('2', '2252') to 20002252.tif
2024-10-17 11:26:46,189 - INFO - Mapping ('2', '2270') to 20002270.tif
2024-10-17 11:26:46,189 - INFO - Mapping ('2', '2323') to 20002323.tif
2024-10-17 11:26:46,189 - INFO - Mapping ('2', '2378') to 20002378.tif
2024-10-17 11:26:46,189 - INFO - Mapping ('2', '2379') to 20002379.tif
2024-10-17 11:26:46,190 - INFO - Mapping ('2', '2382') to 20002382.tif
2024-10-17 11:26:46,190 - INFO - Mapping ('2', '2522') to 20002522.tif
2024-10-17 11:26:46,190 - INFO - Mapping ('2', '2523') to 20002523.tif
2024-10-17 11:26:46,190 - INFO - Mapping ('2', '2537') to 20002537.tif
2024-10-17 11:26:46,190 - INFO - Mapping ('2', '2543') to 20002543.tif
2024-10-17 11:26:46,191 - INFO - Mapping ('2', '2605') to 20002605.tif
2024-10-17 11:26:46,191 - INFO - Mapping ('1', '2467') to 10002467.tif
2024-10-17 11:26:46,191 - INFO - Mapping ('1', '2298') to 10002298.tif
2024-10-17 11:26:46,192 - INFO - Mapping ('1', '2335') to 10002335.tif
2024-10-17 11:26:46,192 - INFO - Mapping ('1', '2379') to 10002379.tif
2024-10-17 11:26:46,192 - INFO - Mapping ('1', '2477') to 10002477.tif
2024-10-17 11:26:46,192 - INFO - Mapping ('1', '2334') to 10002334.tif
2024-10-17 11:26:46,192 - INFO - Mapping ('1', '2278') to 10002278.tif
2024-10-17 11:26:46,192 - INFO - Mapping ('1', '2366') to 10002366.tif
